"id","car_id","sort_in_car","title","author_id","is_lost","text_range","incipit","additional_source","is_author_insecure","first_page_id"
"TX_A0001_000102","TR_A_0001","102","Ps 101 (Domine exaudi orationem meam)","","0","232v–236v","","","0","22_101_Ps101Domineexaudiorationemmeam_473_Bl232v"
"TX_A0001_000103","TR_A_0001","103","Ps 102 (Benedic anima mea domini)","","0","236v–239v","","","0","22_102_Ps102Benedicanimameadomini_481_Bl236v"
"TX_A0001_000104","TR_A_0001","104","Ps 103 (Benedic anima mea dominum)","","0","239v–244r","","","0","22_103_Ps103Benedicanimameadominum_487_Bl239v"
"TX_A0001_000105","TR_A_0001","105","Ps 104 (Confitemini domino et inuocate)","","0","244r–249v","","","0","22_104_Ps104Confiteminidominoetinuocate_496_Bl244r"
"TX_A0001_000106","TR_A_0001","106","Ps 105 (Confitemini domino quoniam bonu[s])","","0","249v–255v","","","0","22_105_Ps105Confiteminidominoquoniambonus_507_Bl249v"
"TX_A0001_000107","TR_A_0001","107","Ps 106 (Confitemini domino quoniam bonus)","","0","255v–261r","","","0","22_106_Ps106Confiteminidominoquoniambonus_519_Bl255v"
"TX_A0001_000108","TR_A_0001","108","Ps 107 (Paratum cor meum deus)","","0","261r–263r","","","0","22_107_Ps107Paratumcormeumdeus_530_Bl261r"
"TX_A0001_000109","TR_A_0001","109","Ps 108 (Deus laudem ne tacueris)","","0","263r–267r","","","0","22_108_Ps108Deuslaudemnetacueris_534_Bl263r"
"TX_A0001_000110","TR_A_0001","110","Ps 109 (Dixit dominus domino meo)","","0","267r–267v","","","0","22_109_Ps109Dixitdominusdominomeo_542_Bl267r"
"TX_A0001_000111","TR_A_0001","111","Ps 110 (Confitebor tibi domine in toto corde meo)","","0","268r–269r","","","0","22_110_Ps110Confitebortibidomineintotocordemeo_544_Bl268r"
"TX_A0001_000112","TR_A_0001","112","Ps 111 (Beatus vir qui timet dominum)","","0","269r–270v","","","0","22_111_Ps111Beatusvirquitimetdominum_546_Bl269r"
"TX_A0001_000113","TR_A_0001","113","Ps 112 (Laudate pueri dominum)","","0","270v–271v","","","0","22_112_Ps112Laudatepueridominum_549_Bl270v"
"TX_A0001_000114","TR_A_0001","114","Ps 113 (In exitu israhel de egypto)","","0","271v–274v","","","0","22_113_Ps113Inexituisraheldeegypto_551_Bl271v"
"TX_A0001_000115","TR_A_0001","115","Ps 114 (Dilexi quoniam exaudiet dominus vocem)","","0","275r–276r","","","0","22_114_Ps114Dilexiquoniamexaudietdominusvocem_558_Bl275r"
"TX_A0001_000116","TR_A_0001","116","Ps 115 (Credidi propter quod locutus sum)","","0","276r–276v","","","0","22_115_Ps115Credidipropterquodlocutussum_560_Bl276r"
"TX_A0001_000117","TR_A_0001","117","Ps 116 (Laudate dominum omnes gentes)","","0","276v–277r","","","0","22_116_Ps116Laudatedominumomnesgentes_561_Bl276v"
"TX_A0001_000118","TR_A_0001","118","Ps 117 (Confitemini domino quoniam bonus)","","0","277r–280v","","","0","22_117_Ps117Confiteminidominoquoniambonus_562_Bl277r"
"TX_A0001_000119","TR_A_0001","119","Ps 118 (Beati inmaculati in via)","","0","280v–302v","","","0","22_118_Ps118Beatiinmaculatiinvia_569_Bl280v"
"TX_A0001_000120","TR_A_0001","120","Ps 119 (Ad dominum cum tribularer clamaui)","","0","302v–303v","","","0","22_119_Ps119Addominumcumtribularerclamaui_615_Bl302v"
"TX_A0001_000121","TR_A_0001","121","Ps 120 (Leuaui oculos meos in montes)","","0","304r–305r","","","0","22_120_Ps120Leuauioculosmeosinmontes_618_Bl304r"
"TX_A0001_000122","TR_A_0001","122","Ps 121 (Letatus sum in hijs)","","0","305r–306r","","","0","22_121_Ps121Letatussuminhijs_620_Bl305r"
