"id","cognomen","relation_to_gsmb","gnd_id","gnd_id_alternate"
"P_A_0290","Werner Rolevinck","Textautor/in","118749536",""
"P_A_0291","Arrianus","Textautor/in","118504436",""
"P_A_0292","Raimundus Lullus","Textautor/in","118575279",""
"P_A_0293","Nikolaus von Kues","Textautor/in","118588095",""
"P_A_0294","Jacobus Magni","Textautor/in","118999877",""
"P_A_0295","Ps.-Walter Burley","Textautor/in","11867496X",""
"P_A_0296","Lombardo della Seta","Textautor/in","119746247",""
"P_A_0297","Theophrast","Textautor/in","118621793",""
"P_A_0298","Bartholomaeus Pisanus","Textautor/in","100965369",""
"P_A_0299","Aulus Gellius","Textautor/in","118716735",""
"P_A_0300","Hieronymus Rotenpeck","Textautor/in","103127208",""
"P_A_0301","Roberto Caracciolo","Textautor/in","10093885X ",""
"P_A_0302","Boncompagnus de Signa","Textautor/in","118962337",""
"P_A_0303","Wilhelmus Durandus","Textautor/in","118681273",""
"P_A_0304","Lauro Quirini","Textautor/in","",""
"P_A_0305","Bartholomaeus Anglicus","Textautor/in","119098709",""
"P_A_0306","Ps.-Cyrillus","Textautor/in","118677594",""
"P_A_0307","Lucas de Padua","Textautor/in","11900271X",""
"P_A_0308","Hugo de Novo Castro","Textautor/in","10094647X",""
"P_A_0309","Richard von St. Viktor","Textautor/in","118744917",""
