"id","src_car","src_text","src_belegstelle","target_car","target_text","target_belegstelle","type","insecurity","general_insecurity","bemerkungen","file_name"
"VER_x_0153_000006","TR_A_0017","TX_A0017_000018","BEL_s_TR_A_0017_142v_$0","TR_X_0077","TX_X0079_000005","BEL_t_TR_X_0077_Karta 226$0","0","0","0","","x_Physiologus_et_Miracula_Mariae"
"VER_x_0153_000007","TR_A_0032","TX_A0032_000004","BEL_s_TR_A_0032_18v_$1","TR_X_0077","TX_X0079_000005","BEL_t_TR_X_0077_In fine$0","0","0","0","","x_Physiologus_et_Miracula_Mariae"
"VER_x_0153_000008","TR_A_0032","TX_A0032_000004","BEL_s_TR_A_0032_14v_b_$1","TR_X_0077","TX_X0079_000006","BEL_t_TR_X_0077_Karta 231$0","0","0","0","Vgl. Joachimsohn S. 265.","x_Physiologus_et_Miracula_Mariae"
"VER_x_0153_000009","TR_A_0035","TX_A0034_000002","BEL_s_TR_A_0035_2r_$7","TR_X_0077","TX_X0079_000007","BEL_t_TR_X_0077_Karta 236$0","0","0","1","Vgl. Joachimsohn S. 265. unsicher","x_Physiologus_et_Miracula_Mariae"
"VER_x_0153_000010","TR_A_0017","TX_A0017_000015","BEL_s_TR_A_0017_109r_$2","TR_X_0077","TX_X0079_000008","","0","0","0","Vgl. Joachimsohn S. 265.","x_Physiologus_et_Miracula_Mariae"
"VER_x_0154_000001","TR_A_0032","TX_A0032_000026","BEL_s_TR_A_0032_71v_$0","TR_X_0078","TX_X0080_000001","BEL_t_TR_X_0078_Karta 78Tractatus3capitulum5$0","0","0","0","","x_Ludus_Scachorum"
"VER_x_0154_000002","TR_A_0022","TX_A0022_000050","BEL_s_TR_A_0022_314r_$0","TR_X_0078","TX_X0080_000001","BEL_t_TR_X_0078_Karta 80 $0","0","0","0","","x_Ludus_Scachorum"
"VER_x_0155_000001","TR_A_0007","TX_A0007_000003","BEL_s_TR_A_0007_139r_$2","TR_X_0079","TX_X0081_000001","BEL_t_TR_X_0079_Karta 160Sermo104$0","0","0","0","","x_Jordanus_de_Quedlinburgo__Sermones_Pars_Hiemalis"
"VER_x_0155_000002","TR_A_0022","TX_A0022_000011","BEL_s_TR_A_0022_16r_$4","TR_X_0079","TX_X0081_000001","BEL_t_TR_X_0079_Karta 189$0","0","0","0","","x_Jordanus_de_Quedlinburgo__Sermones_Pars_Hiemalis"
"VER_x_0156_000001","TR_A_0034","TX_A0033_000002","BEL_s_TR_A_0034_3r_b_$0","TR_X_0080","TX_X0082_000001","BEL_t_TR_X_0080_Karta 165$0","0","0","0","Clm 3560 misst 28 x 21 cm Der Hinweis huius quantitatis im Verweistext könnte auf ein gleiches Format für diese Handschrift deuten.","x_Absolutio_Presbyterorum"
"VER_x_0157_000001","TR_A_0031","TX_A0031_000004","BEL_s_TR_A_0031_110v_$0","TR_X_0081","TX_X0083_000001","BEL_t_TR_X_0081_Karta Lectioprima$0","0","0","0","Verweis beim Speculum virginum neben folgendem Satz: Si gratia spiritus desit liberum arbitrium in homine ad salutem non procedit.","x_Gerson__De_Vita_Spiritualis_Animae"
"VER_x_0158_000001","TR_A_0022","TX_A0022_000053","BEL_s_TR_A_0022_319r_$2","TR_X_0082","TX_X0084_000001","","1","0","0","","x_Arismetrica"
"VER_x_0158_000002","TR_A_0022","TX_A0022_000053","BEL_s_TR_A_0022_319r_$2","TR_X_0082","TX_X0084_000002","BEL_t_TR_X_0082_In fine$0","0","0","0","","x_Arismetrica"
"VER_x_0159_000001","TR_A_0005","TX_A0005_000018","BEL_s_TR_A_0005_243r_$0","TR_X_0083","TX_X0085_000001","","1","0","0","","x_Paulus_Burgensis__Scrutinium_Scripturarum"
"VER_x_0159_000002","TR_A_0005","TX_A0005_000018","BEL_s_TR_A_0005_243r_$0","TR_X_0083","TX_X0085_000002","BEL_t_TR_X_0083_Karta 246$0","0","0","0","(steht bei Tractatus de Praedicatione)","x_Paulus_Burgensis__Scrutinium_Scripturarum"
"VER_x_0160_000001","TR_A_0022","TX_A0022_000011","BEL_s_TR_A_0022_30v_$0","TR_X_0084","TX_X0086_000001","BEL_t_TR_X_0084_Karta 7Gula$0","0","0","0","","x_Summa_Vitiorum"
"VER_x_0161_000001","TR_A_0011","TX_A0011_000003","BEL_s_TR_A_0011_4r_$1","TR_X_0086","TX_X0087_000001","BEL_t_TR_X_0086_Karta 60Tractatus4Capitulum4$0","0","0","0","","x_Alanus_ab_Insulis__De_Planctu_Naturae"
"VER_x_0161_000002","TR_A_0032","TX_A0032_000005","BEL_s_TR_A_0032_22v_b_$2","TR_X_0086","TX_X0087_000001","BEL_t_TR_X_0086_Karta 148 Sceda a$0","0","0","0","","x_Alanus_ab_Insulis__De_Planctu_Naturae"
"VER_x_0161_000003","TR_A_0022","TX_A0022_000050","BEL_s_TR_A_0022_313r_$1","TR_X_0086","TX_X0087_000002","BEL_t_TR_X_0086_Karta 251$0","0","0","0","","x_Alanus_ab_Insulis__De_Planctu_Naturae"
"VER_x_0161_000004","TR_A_0007","TX_A0007_000003","BEL_s_TR_A_0007_24r_$3","TR_X_0086","TX_X0087_000003","BEL_t_TR_X_0086_Karta 270$0","0","0","0","","x_Alanus_ab_Insulis__De_Planctu_Naturae"
"VER_x_0162_000001","TR_A_0030","TX_A0030_000006","BEL_s_TR_A_0030_55v_a_$0","TR_X_0087","TX_X0088_000001","","0","0","0","Vgl. Joachimsohn S. 264.","x_Oculus_Mundi"
"VER_x_0162_000002","TR_A_0015","TX_A0015_000004","BEL_s_TR_A_0015_189r_b_$0","TR_X_0087","TX_X0088_000002","","0","0","0","","x_Oculus_Mundi"
"VER_x_0162_000003","TR_A_0032","TX_A0032_000033","BEL_s_TR_A_0032_90v_$4","TR_X_0087","TX_X0088_000003","BEL_t_TR_X_0087_Karta 49$0","0","0","0","Vgl. Joachimsohn S. 264.","x_Oculus_Mundi"
"VER_x_0162_000004","TR_A_0032","TX_A0032_000036","BEL_s_TR_A_0032_96r_$0","TR_X_0087","TX_X0088_000003","BEL_t_TR_X_0087_Karta 49Meritapersonarum$0","0","0","0","","x_Oculus_Mundi"
"VER_x_0162_000005","TR_A_0032","TX_A0032_000036","BEL_s_TR_A_0032_93v_$6","TR_X_0087","TX_X0088_000004","BEL_t_TR_X_0087_Karta 63$0","0","0","0","Vgl. Joachimsohn S. 264.","x_Oculus_Mundi"
"VER_x_0162_000006","TR_A_0032","TX_A0032_000036","BEL_s_TR_A_0032_94v_$1","TR_X_0087","TX_X0088_000005","BEL_t_TR_X_0087_Karta 63$0","0","0","0","","x_Oculus_Mundi"
"VER_x_0162_000007","TR_A_0031","TX_A0031_000024","BEL_s_TR_A_0031_333v_$0","TR_X_0087","TX_X0088_000006","BEL_t_TR_X_0087_Karta 63–65/67$0","0","0","0","","x_Oculus_Mundi"
"VER_x_0162_000008","TR_A_0032","TX_A0032_000036","BEL_s_TR_A_0032_93v_$7","TR_X_0087","TX_X0088_000007","BEL_t_TR_X_0087_Karta 65$0","0","0","0","Vgl. Joachimsohn S. 264.","x_Oculus_Mundi"
"VER_x_0162_000009","TR_A_0032","TX_A0032_000037","BEL_s_TR_A_0032_104r_$6","TR_X_0087","TX_X0088_000008","BEL_t_TR_X_0087_Karta 65$0","0","0","0","","x_Oculus_Mundi"
"VER_x_0162_000010","TR_A_0032","TX_A0032_000022","BEL_s_TR_A_0032_44v_$9","TR_X_0087","TX_X0088_000009","BEL_t_TR_X_0087_Karta 204Decommendapoesis$0","0","0","0","Vgl. Joachimsohn S. 264.","x_Oculus_Mundi"
"VER_x_0162_000011","TR_A_0032","TX_A0032_000070","BEL_s_TR_A_0032_261r_$1","TR_X_0087","TX_X0088_000010","BEL_t_TR_X_0087_Karta 243$0","0","0","0","Vgl. Joachimsohn S. 264.","x_Oculus_Mundi"
"VER_x_0162_000012","TR_A_0032","TX_A0032_000037","BEL_s_TR_A_0032_105r_$2","TR_X_0087","TX_X0088_000011","BEL_t_TR_X_0087_Karta 307$0","0","0","0","","x_Oculus_Mundi"
"VER_x_0162_000013","TR_A_0032","TX_A0032_000037","BEL_s_TR_A_0032_105r_$3","TR_X_0087","TX_X0088_000012","BEL_t_TR_X_0087_Karta 307$0","0","0","0","","x_Oculus_Mundi"
"VER_x_0163_000001","TR_A_0014","TX_A0014_000047","BEL_s_TR_A_0014_252r_$3","TR_X_0088","TX_X0089_000001","","0","0","0","Steht am Beginn von Hermannus Minorita, Flores temporum","x_Rolevinck__Fasciculus_Temporum"
