"id","car_id","benennung","source"
"BG_0097","TR_X_0032","Augustinus Manuale liber flavius (sic!) parvus","München, Bayerische Staatsbibliothek, Clm 3560, Vorsatzbl. r"
"BG_0098","TR_X_0033","Sermones Jordani de sanctis","München, Bayerische Staatsbibliothek, Clm 3560, Bl. 225r"
"BG_0099","TR_X_0034","Gesta Romanorum","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 13r"
"BG_0100","TR_X_0035","Libellus fuscus textus modus Novae rhetoricae Tullii","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 42v"
"BG_0101","TR_X_0036","Distinctiones theologicales Alani","München, Bayerische Staatsbibliothek, Clm 17848, Bl. 44r"
"BG_0102","TR_X_0037","Liber albus modus quartalis (?) arci Vitae sanctae Brigittae","Heidelberg, UB, Cpg 314, Bl. 200*v"
"BG_0103","TR_X_0038","Tractatus plurimi Augustini codex russus huius quantitatis [= arcus modus]","München, Bayerische Staatsbibliothek, Clm 17837, Bl. 2r"
"BG_0104","TR_X_0039","Ovidius Metamorphoses","München, Bayerische Staatsbibliothek, Clm 17835, Bl. 13r"
"BG_0105","TR_X_0040","Codex niger textus modus Encheridion Augustini","München, Bayerische Staatsbibliothek, Clm 3561, Bl. 175r"
"BG_0106","TR_X_0041","Liber tractatuum theologicalium albus spissus","München, Bayerische Staatsbibliothek, Clm 3560, Bl. 88rb"
"BG_0107","TR_X_0042","Liber propleumatum Aristotelis et Boecii Disciplina","München, Bayerische Staatsbibliothek, Clm 3560, Bl. 25rb"
"BG_0108","TR_X_0043","Priapeia","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 93v [alt 108v]"
"BG_0109","TR_X_0044","Codex fuscus arcus modus ubi Francesco De vita solitaria","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 257r"
"BG_0110","TR_X_0046","Otto Frisingensis episcopus Cronica","Wolfenbüttel, Herzog-August-Bibliothek, Cod. Guelf. 36.19 Aug. 2°, Bl. 188v"
"BG_0111","TR_X_0047","Albus liber De apparenciis contrariis","München, Bayerische Staatsbibliothek, Clm 3560, Bl. 91r"
"BG_0112","TR_X_0048","Liber citrinus Epistolae Blesensis","Gotha, Forschungsbibliothek, Chart. B 61, Bl. 255v"
"BG_0113","TR_X_0049","Liber epistolarum Horatii post eius poetriam in parvo albo codice","Gotha, Forschungsbibliothek, Chart. B 61, Bl. 10v"
"BG_0114","TR_X_0050","Liber viridis astronomicalis vulgaris","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 114v"
"BG_0115","TR_X_0050","Codex viridis Troianae historiae","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 54v"
